2025-10-24 22:27:34 | INFO     | config_validator.utils.logging_setup:73 | configure_logging() | Logging configured. File logs: logs/config-validator.log
2025-10-24 22:27:34 | INFO     | config_validator.cli:28 | _setup_logging() | Logging level set to: INFO
2025-10-24 22:27:39 | INFO     | config_validator.storage.strategy_loader:122 | load_storage_strategy() | Loading storage strategy from config: type=local
2025-10-24 22:27:39 | INFO     | config_validator.storage.strategy_loader:51 | create() | Creating storage strategy: local
2025-10-24 22:27:39 | INFO     | config_validator.storage.local_strategy:37 | __init__() | LocalStrategy initialized with base_path: src\config
2025-10-24 22:27:41 | INFO     | config_validator.cli:79 | run_once() | Discovered 187 YAML files
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\validation-config.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\validation-config.yaml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage-config.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage-config.yaml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\templates\storage-config.template.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\templates\storage-config.template.yaml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage\storage-hdfs.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage\storage-hdfs.yaml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage\storage-local.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage\storage-local.yaml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage\storage-s3.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\config\storage\storage-s3.yaml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\install_vim - Copy.yml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\install_vim - Copy.yml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 0 error(s)
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:247 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\install_vim.yml validation PASSED
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 1 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 1 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\new 4.yaml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\new 4.yaml validation FAILED with 2 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\setup.yml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\setup.yml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\staging.yml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\staging.yml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\roles\wsl_install\vars\main.yml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\roles\wsl_install\vars\main.yml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:61 | _validate_core() | replicas must be an integer between 1 and 50
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:75 | _validate_core() | image must be a string like registry/service:version
2025-10-24 22:27:42 | INFO     | config_validator.core.validator:119 | _validate_core() | Core validation completed with 3 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:196 | validate_file() | Core validation found 3 error(s) in C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\roles\wsl_install\tasks\main.yml
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:249 | validate_file() | File C:\mydrive\My Data\Myproj\Test-Project\Stillfront\test-plugin\ansible\roles\wsl_install\tasks\main.yml validation FAILED with 4 error(s)
2025-10-24 22:27:42 | WARNING  | config_validator.core.validator:49 | _validate_core() | Missing required keys: ['image', 'replicas', 'service']
